0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001F1EA4CFCF8>,alice springs,au,-23.7,80.6,51,8,6.93,1514653200
<citipy.citipy.City object at 0x000001F1EAAC3978>,muros,es,42.77,55.4,87,75,14.99,1514655000
<citipy.citipy.City object at 0x000001F1EA737160>,port hardy,ca,50.7,30.2,86,20,6.93,1514653200
<citipy.citipy.City object at 0x000001F1EB462FD0>,luderitz,na,-26.65,62.46,87,36,3.13,1514655505
<citipy.citipy.City object at 0x000001F1EA6DEE10>,bokspits,bw,,,,,,
<citipy.citipy.City object at 0x000001F1EAA67320>,esmeraldas,ec,-19.76,69.84,93,90,20.8,1514653500
<citipy.citipy.City object at 0x000001F1EAC19EF0>,ilulissat,gl,69.22,12.2,72,90,17.22,1514652600
<citipy.citipy.City object at 0x000001F1EB4EC668>,sistranda,no,63.73,28.4,68,0,17.22,1514654400
<citipy.citipy.City object at 0x000001F1EB0156D8>,husavik,is,50.56,-20.17,88,8,6.67,1514655533
<citipy.citipy.City object at 0x000001F1EB82FBE0>,lagos,pt,6.46,86,70,0,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EB564128>,atuona,pf,-9.8,79.15,100,24,10.92,1514655408
<citipy.citipy.City object at 0x000001F1EA4DC4E0>,hobart,au,-42.88,57.2,58,40,11.41,1514651400
<citipy.citipy.City object at 0x000001F1EA7507B8>,thompson,ca,55.74,-27.41,67,20,5.82,1514653200
<citipy.citipy.City object at 0x000001F1EB844CF8>,ribeira grande,pt,38.52,62.6,67,40,23.04,1514653200
<citipy.citipy.City object at 0x000001F1EB29CA90>,butaritari,ki,3.07,81.81,100,56,10.8,1514655473
<citipy.citipy.City object at 0x000001F1EC2534A8>,port alfred,za,-33.59,74.02,88,8,4.25,1514655442
<citipy.citipy.City object at 0x000001F1EA7AF7F0>,punta arenas,cl,-53.16,51.8,91,75,34.45,1514653200
<citipy.citipy.City object at 0x000001F1EA460DA0>,nuristan,af,38.49,39.2,44,0,4.7,1514653200
<citipy.citipy.City object at 0x000001F1EAADC048>,verin,es,41.94,45.9,92,80,4.32,1514655867
<citipy.citipy.City object at 0x000001F1EAC1D7B8>,upernavik,gl,72.79,8.64,100,80,10.85,1514655536
<citipy.citipy.City object at 0x000001F1EB502B70>,bluff,nz,-23.58,77.04,75,24,5.26,1514655406
<citipy.citipy.City object at 0x000001F1EA8747F0>,la uribe,co,,,,,,
<citipy.citipy.City object at 0x000001F1EB1F1668>,isabela,us,10.2,74.11,96,56,2.8,1514655868
<citipy.citipy.City object at 0x000001F1EA4A5E80>,mar del plata,ar,-46.43,64.89,37,64,12.59,1514655346
<citipy.citipy.City object at 0x000001F1EB8533C8>,vila franca do campo,pt,37.72,66.2,82,75,20.8,1514653200
<citipy.citipy.City object at 0x000001F1EBABA668>,gubskaya,ru,44.32,36.58,82,92,3.65,1514655869
